# frames/before/exact-open/
frame                          ink px     ink box (x,y,w,h)        centre        offset from viewport centre
f115-07102ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f116-07150ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f117-07198ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f118-07244ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f119-07292ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f120-07337ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f121-07390ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f122-07437ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f123-07484ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f124-07531ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f125-07581ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f126-07627ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f127-07673ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f128-07723ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f129-07774ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f130-07818ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f131-07866ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f132-07916ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f133-07969ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f134-08017ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f135-08065ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f136-08112ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f137-08161ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f138-08205ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
f139-08248ms.png              328150  (    0,   0, 1707, 888)  (  853.0, 443.5)  dx=     0.0  dy=   -5.0
